GifID,GIF URL,VIEWS,RATING,ULD,ULM,ULY,ULT,TRD,TRM,TRY,TRT,TAGS
xWZcTvh1cuAaSi7HeI,https://giphy.com/gifs/hyperrpg-game-friends-xWZcTvh1cuAaSi7HeI,93712578,g,24,2,2018,22:08:03,5,3,2018,05:00:01,game|happy|reaction|friends|youtube|excited|reactions|live|twitch|rpg|action|internet|online|nerd|geek|joy|dnd|hyper rpg|pet|nerds|d&d|nerdy|geeky|geeks|emotion|hyperrpg|hyper|stream|good job|emotions|roleplaying|hyper_rpg|role playing|puppet|check|muppets|scratch|interweb|amused|puppets|joyful|actions|pat|perception|petting|scratching|chunk|pals|perception check|felted friends|felted|chunkerrific|patting|GIF|Animated GIF
3o7WIPXYgdA6uRqLkI,https://giphy.com/gifs/hyperrpg-movie-3o7WIPXYgdA6uRqLkI,60394562,g,7,2,2018,17:03:22,1,1,2000,00:00:00,movie|star wars|star|hyperrpg|wars|donald|solo|emilia clarke|han solo|donald glover|childish gambino|kira|falcon|woody harrelson|woody|chewbacca|newton|han|emilia|clarke|beckett|childish|gambino|chewie|millennium falcon|lando|millennium|glover|hansolo|thandie newton|lando calrissian|millenium|alden ehrenreich|alden|han solo movie|harrelson|thandie|calrissian|qi'ra|ehrenreich|joonas|suotamo|joonas suotamo|hsh01|GIF|Animated GIF
9D7dHki8a0eTSmD3vR,https://giphy.com/gifs/hyperrpg-game-reaction-9D7dHki8a0eTSmD3vR,49671849,g,3,4,2018,04:36:42,30,6,2018,01:15:06,game|reaction|meme|angry|what|reactions|live|crying|mad|memes|shocked|twitch|rpg|action|internet|cry|online|upset|power|nerd|geek|shock|scream|react|big|and|dnd|please|go|nerds|d&d|nerdy|geeky|geeks|rage|emotion|hyperrpg|battle|paper|screaming|hyper|dice|stream|tabletop|kaiju|emotions|roll|die|roleplaying|power rangers|yelling|rolling|role playing|master|wut|force|pissed|come on|morph|gm|dm|streaming|yell|pen|interweb|rangers|dungeon|furious|mecha|actions|repeat|morphing|ranger|try again|bitter|dungeon master|saban|offended|howl|mech|lim|go go|hyperforce|hyper force|outraged|enraged|heated|irritable|roleplayer|megazord|dungeonmaster|pen and paper|sabans|gamemaster|zordon|screech|saban's|zord|zords|thunderzord|malika lim|shriek|malika|hello_malika|say that again|wail|wailing|shrieking|hellomalika|repeat that|angry girlfriend|angry wife|you done goofed|angry gf|yu dun goofed|angry wifey|GIF|Animated GIF
fLmGIdphHc55ptOl8t,https://giphy.com/gifs/hyperrpg-game-fLmGIdphHc55ptOl8t,45429555,g,5,3,2018,05:31:13,18,3,2018,09:30:01,game|reaction|friends|youtube|angry|reactions|live|mad|twitch|rpg|internet|online|upset|nerd|geek|dnd|hyper rpg|sassy|nerds|d&d|nerdy|geeky|geeks|rage|emotion|hyperrpg|hyper|jessica|stream|emotions|roleplaying|hyper_rpg|role playing|attitude|pissed|check|sass|mean|muppets|interweb|puppets|furious|cheeky|bitter|perception|offended|outraged|enraged|heated|irritable|verdi|perception check|tude|felted friends|jessica lynn verdi|jessicaverdi|felted|not nice|meany|meaney|GIF|Animated GIF
3ov9jCK4jfuthJ5hgk,https://giphy.com/gifs/hyperrpg-reaction-surprise-3ov9jCK4jfuthJ5hgk,42786859,g,30,9,2017,06:13:00,3,1,2018,02:00:01,reaction|surprise|rpg|player|hyper rpg|hyperrpg|damn|woah|pencils and parsecs|pnp|edge of the empire|emma fyffe|emmafyffe|dang|kylara fey|star wars rpg|GIF|Animated GIF
XKm1pkqdZoe6apjPW3,https://giphy.com/gifs/hyperrpg-game-reaction-XKm1pkqdZoe6apjPW3,42736390,g,21,2,2018,04:47:14,22,2,2018,09:30:01,game|reaction|meme|no|star wars|youtube|reactions|live|star|confused|memes|twitch|surprise|rpg|action|internet|online|nerd|geek|player|and|empire|hyper rpg|nerds|d&d|nerdy|idk|geeky|geeks|emotion|hyperrpg|shrug|i|wars|hyper|stream|emotions|roleplaying|hyper_rpg|emma|idea|role playing|know|clueless|rebels|dont|maybe|pencils and parsecs|interweb|pnp|i dont know|don't|rebellion|dazed|pencilsandparsecs|edge of the empire|actions|scum|pencils|villainy|smugglers|parsecs|fey|shrugging|puzzled|emma fyffe|emmafyffe|baffled|no idea|bewildered|fyffe|befuddled|kylara|kylara fey|perplexed|muddled|GIF|Animated GIF
fHcsxnNlGslwLAJCTG,https://giphy.com/gifs/hyperrpg-beauty-twitch-fHcsxnNlGslwLAJCTG,36402565,g,2,3,2018,05:02:35,3,3,2018,05:00:01,beauty|twitch|rpg|hyper rpg|hyperrpg|flirt|flirting|hyper|hyper_rpg|kate|glamour|flirty|glam|charisma|charm|attractive|elliott|attraction|kate elliott|katerstweets|appeal|indomitable|allure|heroclix|wizkids|GIF|Animated GIF
xT1R9K4zdMtUym15ug,https://giphy.com/gifs/hyperrpg-reaction-star-wars-xT1R9K4zdMtUym15ug,24327586,g,31,1,2018,05:16:49,1,1,2000,00:00:00,game|reaction|star wars|youtube|reactions|live|star|yeah|twitch|rpg|ok|internet|online|nerd|okay|geek|and|empire|gross|hyper rpg|nerds|d&d|nerdy|geeky|geeks|emotion|hyperrpg|shrug|wars|hyper|stream|true|emotions|not|roleplaying|hyper_rpg|role playing|want|rebels|do|alright|disgusted|pencils and parsecs|disgust|interweb|do not want|hector|pnp|eww|navarro|rebellion|pencilsandparsecs|dislike|edge of the empire|scum|pencils|hector navarro|understand|villainy|smugglers|parsecs|pnp01|hectorisfunny|huuurgh|ewww|accept|aight|GIF|Animated GIF
l2RnvrWTvqeTnRB4c,https://giphy.com/gifs/hyperrpg-reaction-laugh-l2RnvrWTvqeTnRB4c,21700512,g,29,11,2017,00:43:14,1,1,2000,00:00:00,reaction|laugh|dnd|hyper rpg|hyperrpg|evil laugh|cucumber|perception check|cackle|cucumberlives|muahaha|GIF|Animated GIF
xUOxf9Vq9jCierhako,https://giphy.com/gifs/hyperrpg-reaction-beer-xUOxf9Vq9jCierhako,14626219,pg,12,12,2017,05:25:51,29,1,2018,22:15:01,reaction|beer|drink|rpg|drinking|monday|hyper rpg|alcohol|hyperrpg|emotional|pencils and parsecs|pnp|pencilsandparsecs|edge of the empire|relief|emma fyffe|emmafyffe|relieved|kylara fey|star wars rpg|distress|need a drink|GIF|Animated GIF
